time,inc
0,0
9.583142845,0.767216658
11.64864303,1.806917834
16.77760692,1.862401812
18.83712231,2.464465317
22.94044304,2.519793442
26.7101118,3.176821412
27.74622834,3.94284319
36.30896471,5.092940859
46.56988488,5.422727651
47.26486846,6.243402186
58.55143178,6.573344832
65.73467437,6.847959353
66.08328831,7.340353684
72.23864345,7.450698225
89.35513902,9.094437056
100.9790948,9.0962034
115.353061,10.19247953
125.9513736,10.19409002
133.8168821,10.35939903
135.1926354,10.96135863
147.5003533,10.96322888
150.9258967,11.45609077
164.9467603,11.73174432
195.3943726,13.21339512
198.1406425,14.03438136
220.7055401,14.09251486
232.3324883,14.31310004
241.2213956,14.31445077
244.9910644,14.97147874
251.8286854,14.97251777
252.857321,15.19149246
262.4299904,15.19294709
266.5385479,15.63120818
280.8990483,15.74279955
282.6144383,16.18069698
295.9470512,16.12801837
297.6654337,16.78473463
305.529446,16.84063422
306.2184448,17.22367109
313.0583101,17.38882424
335.9658368,17.50171439
347.9316737,17.50353269
352.3910893,18.59830223
